id,type,size,locality,price
826,3,60,5,19000
827,2,40,2,13500
828,3,50,1,22000
829,6,115,1,48000
830,5,63,4,17000
831,7,114,5,24000
832,7,111,9,24000
833,1,13,3,11900
834,1,48,2,17000
835,1,51,5,27000
836,3,67,5,38000
837,5,70,5,19000
838,3,64,2,36400
839,4,78,1,26000
840,3,51,5,14900
841,4,50,6,16100
842,3,62,5,16500
843,3,96,6,23000
844,4,68,6,19500
845,8,100,2,33000
846,4,82,2,21000
847,6,92,6,20000
848,10,220,1,95000
849,5,70,5,25500
850,5,102,2,32000
851,12.0,66.0,2.0,
852,5,80,2,52000
853,6,110,1,29000
854,8,200,1,35000
855,3,60,9,25000
856,5,94,5,40000
857,10,197,1,100000
858,8,203,1,90000
859,5,105,2,29950
860,8,136,1,44750
861,1,32,5,13900
862,6,70,4,24000
863,2,42,4,13400
864,4,71,5,28000
865,3,43,5,15000
866,6,115,1,52000
867,7,181,5,75000
868,3,80,1,32500
869,6,105,5,30000
870,6,75,5,17500
871,10,193,5,110000
872,1,48,1,23000
873,4,87,2,25000
874,6,98,2,33500
875,3.0,53.0,5.0,
876,5.0,81.0,5.0,
877,5,140,8,27000
878,3.0,45.0,0.0,
879,5,93,5,25000
880,1,35,5,12500
881,7,185,5,66000
882,5,77,5,29400
883,7,120,6,42000
884,10,189,1,90000
885,3,45,3,18000
886,4,105,1,37000
887,10,240,6,75000
888,4,96,1,24000
889,6,110,1,45000
890,6,85,4,20000
891,7,130,0,60000
892,8,152,7,34000
893,5,138,5,32000
894,7,229,5,37000
895,1,34,5,15900
896,1,35,5,15000
897,3,47,5,21000
898,3,53,5,19900
899,3,65,1,35000
900,5,73,5,26900
901,8,100,6,32000
902,10,240,6,54000
903,,269,6,90000
904,3,68,1,30000
905,6,90,7,25000
906,1,33,10,10000
907,3,51,4,18000
908,3,50,2,20500
909,4,86,2,22500
910,4,63,0,13500
911,5,113,3,24500
912,3,51,0,14800
913,6,100,0,39000
914,4,80,0,27900
915,4,89,0,18000
916,3,51,0,14900
917,2,55,4,13500
918,3,55,4,13500
919,4,80,3,18700
920,3,47,4,12000
921,5,81,0,17500
922,5,138,0,21000
923,1,38,10,14000
924,3,42,4,12500
925,1,32,0,10900
926,3,58,4,13500
927,6,83,3,24000
928,3,58,5,17000
929,1,70,5,19000
930,3,50,4,18900
931,3,63,4,20000
932,3,71,7,28000
933,5,78,3,19701
934,4,68,0,15000
935,3,60,2,19500
936,5,95,10,22000
937,4,55,3,18000
938,3,54,6,13900
939,3,36,8,15000
940,3,46,10,19000
941,6,86,1,21000
942,8,105,6,25000
943,6,76,5,15000
944,3,65,3,18000
945,11,21,4,8000
946,1,52,5,20000
947,3,60,3,19000
948,5,82,8,28000
949,1,31,9,11490
950,3,51,3,18500
951,3,53,2,20500
952,5,70,5,21000
953,5,122,6,44000
954,3,56,2,18500
955,5,147,3,59799
956,6,91,2,29000
957,3,50,4,17900
958,5,78,6,27000
959,7,124,5,45000
960,1,23,0,9500
961,5,74,4,23000
962,5,117,4,80000
963,8,127,2,58000
964,5,91,6,38000
965,5,88,4,27500
966,4,67,3,17000
967,3,47,4,16900
968,1,26,10,11500
969,5,97,0,22000
970,3,55,9,14500
971,3,45,5,13500
972,5,113,3,24500
973,1,27,9,10000
974,3,53,4,12300
975,5,113,0,24500
976,3,89,3,39952
977,7,63,6,12900
978,3,52,3,11990
979,7,130,5,40000
980,7,130,5,40000
981,3,37,8,12000
982,5,82,5,17500
983,5,154,3,59800
984,5,127,2,59000
985,6,143,0,33000
986,4,43,4,14000
987,4,68,2,20000
988,1,46,2,16000
989,5,55,5,19900
990,4,55,6,12500
991,4,60,3,20000
992,11,17,9,5900
993,5,96,1,21000
994,4,82,4,17000
995,4,70,2,23000
996,2,36,0,8000
997,1,29,4,9000
998,1,27,10,9500
999,5,108,2,35000
1000,1,33,4,12000
1001,7,140,2,45000
1002,2,40,4,14000
1003,6,70,4,18000
1004,9,195,6,80000
1005,6,99,3,37500
1006,6,90,3,34000
1007,4,121,5,33000
1008,5,91,5,55000
1009,4,70,4,15000
1010,4,52,10,13500
1011,5,78,10,17500
1012,2,34,0,10990
1013,4,85,4,12000
1014,4,55,4,12500
1015,7,107,8,27000
1016,7,117,10,29900
1017,6,108,2,38000
1018,6,103,2,25000
1019,3,42,6,12000
1020,8,120,7,41500
1021,7,144,3,44000
1022,5,93,7,41000
1023,5,89,4,25000
1024,7,181,5,58250
1025,4,75,2,32000
1026,3,89,3,39952
1027,3,45,2,27000
1028,7,195,7,75000
1029,5,116,2,54805
1030,7,135,3,89891
1031,3,72,2,28000
1032,3,54,2,29000
1033,7,166,3,119855
1034,5,147,2,59800
1035,7,135,3,92964
1036,3,53,0,17500
1037,3,66,3,20000
1038,1,20,5,8000
1039,3,36,8,13000
1040,3,61,0,18000
1041,5,113,3,24500
